Author_id,Group,Gender,Group_member,If_winner,Event,Persistence
A_95,g_19,women,prizewinner,1,0,22
A_96,g_19,women,contender,0,0,22
A_97,g_19,women,contender,0,0,26
A_98,g_19,women,contender,0,0,25
A_99,g_19,women,contender,0,0,19
A_100,g_19,women,contender,0,0,19
A_101,g_20,women,prizewinner,1,1,3
A_102,g_20,women,contender,0,1,5
A_103,g_20,women,contender,0,1,0
A_104,g_20,women,contender,0,1,8
A_105,g_20,women,contender,0,1,8
A_106,g_20,women,contender,0,1,5
A_107,g_21,women,prizewinner,1,0,14
A_108,g_21,women,contender,0,0,10
A_109,g_21,women,contender,0,0,11
A_110,g_21,women,contender,0,1,15
A_111,g_21,women,contender,0,1,7
A_112,g_21,women,contender,0,0,20
A_113,g_22,women,prizewinner,1,0,14
A_114,g_22,women,contender,0,0,11
A_115,g_22,women,contender,0,0,18
A_116,g_22,women,contender,0,0,11
A_117,g_22,women,contender,0,0,18
A_118,g_22,women,contender,0,0,12
A_119,g_23,women,prizewinner,1,1,3
A_120,g_23,women,contender,0,0,5
A_121,g_23,women,contender,0,0,8
A_122,g_23,women,contender,0,0,4
A_123,g_23,women,contender,0,1,2
A_124,g_23,women,contender,0,0,10
A_125,g_24,women,prizewinner,1,1,15
A_126,g_24,women,contender,0,0,19
A_127,g_24,women,contender,0,0,17
A_128,g_24,women,contender,0,1,13
A_129,g_24,women,contender,0,1,12
A_130,g_24,women,contender,0,1,15
A_131,g_25,women,prizewinner,1,0,12
A_132,g_25,women,contender,0,0,13
A_133,g_25,women,contender,0,0,16
A_134,g_25,women,contender,0,0,13
A_135,g_25,women,contender,0,0,15
A_136,g_25,women,contender,0,0,14
A_137,g_26,women,prizewinner,1,0,6
A_138,g_26,women,contender,0,0,13
A_139,g_26,women,contender,0,0,7
A_140,g_26,women,contender,0,0,6
A_141,g_26,women,contender,0,0,12
A_142,g_26,women,contender,0,0,7
A_143,g_27,women,prizewinner,1,0,13
A_144,g_27,women,contender,0,0,10
A_145,g_27,women,contender,0,0,10
A_146,g_27,women,contender,0,0,10
A_147,g_27,women,contender,0,0,9
A_148,g_27,women,contender,0,0,12
A_149,g_28,women,prizewinner,1,1,63
A_150,g_28,women,contender,0,1,6
A_151,g_28,women,contender,0,1,56
A_152,g_28,women,contender,0,1,51
A_153,g_28,women,contender,0,1,57
A_154,g_28,women,contender,0,1,52
A_155,g_29,women,prizewinner,1,0,19
A_156,g_29,women,contender,0,0,22
A_157,g_29,women,contender,0,0,16
A_158,g_29,women,contender,0,0,19
A_159,g_29,women,contender,0,0,19
A_160,g_30,women,prizewinner,1,0,7
A_161,g_30,women,contender,0,0,13
A_162,g_30,women,contender,0,0,3
A_163,g_30,women,contender,0,0,5
A_164,g_30,women,contender,0,0,7
A_165,g_30,women,contender,0,0,8
A_166,g_31,women,prizewinner,1,1,10
A_167,g_31,women,contender,0,0,8
A_168,g_31,women,contender,0,0,10
A_169,g_31,women,contender,0,1,9
A_170,g_31,women,contender,0,0,9
A_171,g_31,women,contender,0,0,11
A_172,g_32,women,prizewinner,1,0,12
A_173,g_32,women,contender,0,0,10
A_174,g_32,women,contender,0,0,13
A_175,g_32,women,contender,0,0,10
A_176,g_32,women,contender,0,0,13
A_177,g_32,women,contender,0,0,14
A_178,g_33,women,prizewinner,1,0,20
A_179,g_33,women,contender,0,1,16
A_180,g_33,women,contender,0,0,19
A_181,g_33,women,contender,0,0,22
A_182,g_33,women,contender,0,1,15
A_183,g_33,women,contender,0,1,18
A_184,g_34,women,prizewinner,1,0,11
A_185,g_34,women,contender,0,0,14
A_186,g_34,women,contender,0,0,8
A_187,g_34,women,contender,0,0,11
A_188,g_34,women,contender,0,1,8
A_189,g_34,women,contender,0,0,14
A_190,g_35,women,prizewinner,1,0,60
A_191,g_35,women,contender,0,0,60
A_192,g_35,women,contender,0,1,50
A_193,g_35,women,contender,0,1,47
A_194,g_35,women,contender,0,1,44
A_195,g_35,women,contender,0,1,43
A_196,g_36,women,prizewinner,1,0,22
A_197,g_36,women,contender,0,0,21
A_198,g_36,women,contender,0,0,28
A_199,g_36,women,contender,0,0,21
A_200,g_36,women,contender,0,0,26
A_201,g_36,women,contender,0,0,30
A_202,g_37,women,prizewinner,1,0,14
A_203,g_37,women,contender,0,0,14
A_204,g_37,women,contender,0,0,15
A_205,g_38,women,prizewinner,1,0,7
A_206,g_38,women,contender,0,0,7
A_207,g_38,women,contender,0,0,4
A_208,g_38,women,contender,0,0,11
A_209,g_38,women,contender,0,0,10
A_210,g_38,women,contender,0,0,10
A_211,g_39,women,prizewinner,1,1,13
A_212,g_39,women,contender,0,1,25
A_213,g_39,women,contender,0,1,31
A_214,g_39,women,contender,0,1,1
A_215,g_40,women,prizewinner,1,0,20
A_216,g_40,women,contender,0,1,17
A_217,g_40,women,contender,0,1,22
A_218,g_40,women,contender,0,0,22
A_219,g_40,women,contender,0,0,20
A_220,g_40,women,contender,0,1,22
A_221,g_41,women,prizewinner,1,0,8
A_222,g_41,women,contender,0,1,4
A_223,g_41,women,contender,0,0,6
A_224,g_41,women,contender,0,0,12
A_225,g_41,women,contender,0,1,4
A_226,g_41,women,contender,0,0,8
A_227,g_42,women,prizewinner,1,0,14
A_228,g_42,women,contender,0,0,16
A_229,g_42,women,contender,0,0,12
A_230,g_42,women,contender,0,0,15
A_231,g_42,women,contender,0,0,12
A_232,g_42,women,contender,0,0,13
A_233,g_43,women,prizewinner,1,0,8
A_234,g_43,women,contender,0,0,10
A_235,g_43,women,contender,0,0,6
A_236,g_43,women,contender,0,0,8
A_237,g_43,women,contender,0,0,8
A_238,g_43,women,contender,0,0,10
A_239,g_44,women,prizewinner,1,0,17
A_240,g_44,women,contender,0,0,15
A_241,g_44,women,contender,0,0,17
A_242,g_44,women,contender,0,0,19
A_243,g_44,women,contender,0,0,22
A_244,g_44,women,contender,0,0,14
A_245,g_45,women,prizewinner,1,0,9
A_246,g_45,women,contender,0,0,10
A_247,g_45,women,contender,0,0,7
A_248,g_45,women,contender,0,0,8
A_249,g_45,women,contender,0,0,8
A_250,g_45,women,contender,0,0,11
A_251,g_46,women,prizewinner,1,0,6
A_252,g_46,women,contender,0,0,8
A_253,g_46,women,contender,0,0,4
A_254,g_46,women,contender,0,0,7
A_255,g_46,women,contender,0,0,6
A_256,g_46,women,contender,0,0,8
A_257,g_47,women,prizewinner,1,0,7
A_258,g_47,women,contender,0,0,4
A_259,g_47,women,contender,0,0,5
A_260,g_47,women,contender,0,0,4
A_261,g_47,women,contender,0,0,6
A_262,g_47,women,contender,0,0,6
A_263,g_48,women,prizewinner,1,1,8
A_264,g_48,women,contender,0,1,5
A_265,g_48,women,contender,0,0,7
A_266,g_48,women,contender,0,1,14
A_267,g_48,women,contender,0,1,14
A_268,g_48,women,contender,0,0,10
A_269,g_49,women,prizewinner,1,0,8
A_270,g_49,women,contender,0,0,5
A_271,g_49,women,contender,0,0,6
A_272,g_49,women,contender,0,0,7
A_273,g_49,women,contender,0,0,7
A_274,g_49,women,contender,0,0,9
A_275,g_50,women,prizewinner,1,0,15
A_276,g_50,women,contender,0,0,12
A_277,g_50,women,contender,0,0,12
A_278,g_50,women,contender,0,0,13
A_279,g_50,women,contender,0,0,13
A_280,g_50,women,contender,0,0,12
A_281,g_51,women,prizewinner,1,0,15
A_282,g_51,women,contender,0,0,11
A_283,g_51,women,contender,0,0,12
A_284,g_51,women,contender,0,0,16
A_285,g_51,women,contender,0,1,7
A_286,g_51,women,contender,0,0,19
A_287,g_52,women,prizewinner,1,1,21
A_288,g_52,women,contender,0,0,20
A_289,g_52,women,contender,0,0,21
A_290,g_52,women,contender,0,1,24
A_291,g_52,women,contender,0,0,24
A_292,g_52,women,contender,0,0,24
A_293,g_53,women,prizewinner,1,0,32
A_294,g_53,women,contender,0,0,31
A_295,g_53,women,contender,0,0,37
A_296,g_53,women,contender,0,1,27
A_297,g_53,women,contender,0,1,27
A_298,g_53,women,contender,0,0,30
A_299,g_54,women,prizewinner,1,1,44
A_300,g_54,women,contender,0,1,34
A_301,g_54,women,contender,0,1,26
A_302,g_55,women,prizewinner,1,0,10
A_303,g_55,women,contender,0,0,8
A_304,g_55,women,contender,0,0,7
A_305,g_55,women,contender,0,0,10
A_306,g_55,women,contender,0,0,14
A_307,g_55,women,contender,0,0,8
A_308,g_56,women,prizewinner,1,0,30
A_309,g_56,women,contender,0,1,13
A_310,g_56,women,contender,0,0,26
A_311,g_56,women,contender,0,0,27
A_312,g_56,women,contender,0,0,28
A_313,g_56,women,contender,0,0,28
A_314,g_57,women,prizewinner,1,0,13
A_315,g_57,women,contender,0,0,16
A_316,g_57,women,contender,0,1,13
A_317,g_57,women,contender,0,0,16
A_318,g_57,women,contender,0,0,12
A_319,g_57,women,contender,0,0,11
A_320,g_58,women,prizewinner,1,0,10
A_321,g_58,women,contender,0,0,6
A_322,g_58,women,contender,0,0,7
A_323,g_58,women,contender,0,0,7
A_324,g_58,women,contender,0,0,8
A_325,g_58,women,contender,0,0,7
A_326,g_59,women,prizewinner,1,0,14
A_327,g_59,women,contender,0,0,11
A_328,g_59,women,contender,0,0,14
A_329,g_59,women,contender,0,1,9
A_330,g_59,women,contender,0,1,8
A_331,g_59,women,contender,0,0,10
A_332,g_60,women,prizewinner,1,0,17
A_333,g_60,women,contender,0,0,19
A_334,g_60,women,contender,0,1,13
A_335,g_60,women,contender,0,1,11
A_336,g_60,women,contender,0,1,2
A_337,g_60,women,contender,0,1,19
A_338,g_61,women,prizewinner,1,0,16
A_339,g_61,women,contender,0,0,14
A_340,g_61,women,contender,0,1,12
A_341,g_61,women,contender,0,0,14
A_342,g_61,women,contender,0,0,13
A_343,g_61,women,contender,0,0,14
A_344,g_62,women,prizewinner,1,0,27
A_345,g_62,women,contender,0,1,18
A_346,g_62,women,contender,0,0,26
A_347,g_62,women,contender,0,1,26
A_348,g_62,women,contender,0,0,23
A_349,g_62,women,contender,0,1,23
A_350,g_63,women,prizewinner,1,0,19
A_351,g_63,women,contender,0,1,13
A_352,g_63,women,contender,0,1,17
A_353,g_63,women,contender,0,0,17
A_354,g_63,women,contender,0,1,15
A_355,g_63,women,contender,0,1,19
A_356,g_64,women,prizewinner,1,0,6
A_357,g_64,women,contender,0,0,8
A_358,g_64,women,contender,0,0,3
A_359,g_64,women,contender,0,0,5
A_360,g_64,women,contender,0,0,8
A_361,g_64,women,contender,0,0,5
A_362,g_65,women,prizewinner,1,0,19
A_363,g_65,women,contender,0,1,15
A_364,g_65,women,contender,0,0,15
A_365,g_65,women,contender,0,0,19
A_366,g_65,women,contender,0,0,15
A_367,g_65,women,contender,0,0,17
A_368,g_66,women,prizewinner,1,1,21
A_369,g_66,women,contender,0,1,25
A_370,g_66,women,contender,0,1,20
A_371,g_66,women,contender,0,1,21
A_372,g_66,women,contender,0,1,20
A_373,g_66,women,contender,0,1,13
A_374,g_67,women,prizewinner,1,0,6
A_375,g_67,women,contender,0,0,7
A_376,g_68,women,prizewinner,1,0,5
A_377,g_68,women,contender,0,0,5
A_378,g_68,women,contender,0,0,5
A_379,g_68,women,contender,0,0,8
A_380,g_68,women,contender,0,0,8
A_381,g_68,women,contender,0,0,10
A_382,g_69,women,prizewinner,1,0,14
A_383,g_69,women,contender,0,0,11
A_384,g_69,women,contender,0,0,12
A_385,g_69,women,contender,0,0,10
A_386,g_69,women,contender,0,0,11
A_387,g_69,women,contender,0,0,12
A_388,g_70,women,prizewinner,1,0,7
A_389,g_70,women,contender,0,0,8
A_390,g_70,women,contender,0,0,7
A_391,g_70,women,contender,0,0,12
A_392,g_70,women,contender,0,0,9
A_393,g_70,women,contender,0,0,4
A_394,g_71,women,prizewinner,1,0,28
A_395,g_71,women,contender,0,0,28
A_396,g_71,women,contender,0,1,20
A_397,g_71,women,contender,0,1,12
A_398,g_71,women,contender,0,1,11
A_399,g_71,women,contender,0,1,0
A_400,g_72,women,prizewinner,1,0,34
A_401,g_72,women,contender,0,0,39
A_402,g_72,women,contender,0,1,32
A_403,g_72,women,contender,0,0,32
A_404,g_72,women,contender,0,0,33
A_405,g_73,women,prizewinner,1,0,10
A_406,g_73,women,contender,0,0,9
A_407,g_73,women,contender,0,1,7
A_408,g_73,women,contender,0,0,11
A_409,g_73,women,contender,0,0,16
A_410,g_73,women,contender,0,0,13
A_411,g_74,women,prizewinner,1,1,14
A_412,g_74,women,contender,0,0,17
A_413,g_74,women,contender,0,0,13
A_414,g_74,women,contender,0,0,17
A_415,g_74,women,contender,0,0,13
A_416,g_74,women,contender,0,1,10
A_417,g_75,women,prizewinner,1,0,11
A_418,g_75,women,contender,0,0,14
A_419,g_75,women,contender,0,0,8
A_420,g_75,women,contender,0,0,8
A_421,g_75,women,contender,0,1,8
A_422,g_75,women,contender,0,0,12
A_423,g_76,women,prizewinner,1,0,15
A_424,g_76,women,contender,0,0,12
A_425,g_76,women,contender,0,0,12
A_426,g_76,women,contender,0,0,12
A_427,g_76,women,contender,0,0,12
A_428,g_76,women,contender,0,0,14
A_429,g_77,women,prizewinner,1,1,9
A_430,g_77,women,contender,0,0,11
A_431,g_77,women,contender,0,0,12
A_432,g_77,women,contender,0,0,12
A_433,g_77,women,contender,0,0,13
A_434,g_77,women,contender,0,0,11
A_435,g_78,women,prizewinner,1,1,31
A_436,g_78,women,contender,0,1,34
A_437,g_79,women,prizewinner,1,0,11
A_438,g_79,women,contender,0,0,9
A_439,g_79,women,contender,0,0,10
A_440,g_79,women,contender,0,0,10
A_441,g_79,women,contender,0,0,10
A_442,g_79,women,contender,0,0,8
A_443,g_80,women,prizewinner,1,0,11
A_444,g_80,women,contender,0,0,9
A_445,g_80,women,contender,0,0,8
A_446,g_80,women,contender,0,0,10
A_447,g_80,women,contender,0,0,12
A_448,g_80,women,contender,0,0,8
A_449,g_81,women,prizewinner,1,0,9
A_450,g_81,women,contender,0,0,16
A_451,g_81,women,contender,0,1,5
A_452,g_81,women,contender,0,1,11
A_453,g_81,women,contender,0,0,13
A_454,g_81,women,contender,0,0,12
A_455,g_82,women,prizewinner,1,0,10
A_456,g_82,women,contender,0,0,16
A_457,g_82,women,contender,0,1,9
A_458,g_82,women,contender,0,0,11
A_459,g_82,women,contender,0,1,6
A_460,g_82,women,contender,0,0,9
A_461,g_83,women,prizewinner,1,0,5
A_462,g_83,women,contender,0,0,6
A_463,g_83,women,contender,0,0,5
A_464,g_83,women,contender,0,0,4
A_465,g_83,women,contender,0,0,9
A_466,g_83,women,contender,0,0,6
A_467,g_84,women,prizewinner,1,0,8
A_468,g_84,women,contender,0,0,10
A_469,g_84,women,contender,0,0,11
A_470,g_84,women,contender,0,0,10
A_471,g_84,women,contender,0,1,4
A_472,g_84,women,contender,0,0,8
A_473,g_85,women,prizewinner,1,0,8
A_474,g_85,women,contender,0,0,8
A_475,g_85,women,contender,0,0,6
A_476,g_85,women,contender,0,0,9
A_477,g_85,women,contender,0,0,7
A_478,g_85,women,contender,0,0,7
A_479,g_86,women,prizewinner,1,0,16
A_480,g_86,women,contender,0,0,14
A_481,g_86,women,contender,0,0,17
A_482,g_86,women,contender,0,0,18
A_483,g_86,women,contender,0,0,19
A_484,g_86,women,contender,0,0,16
A_485,g_87,women,prizewinner,1,0,7
A_486,g_87,women,contender,0,0,7
A_487,g_87,women,contender,0,0,5
A_488,g_87,women,contender,0,1,6
A_489,g_87,women,contender,0,0,6
A_490,g_88,women,prizewinner,1,1,8
A_491,g_88,women,contender,0,1,18
A_492,g_88,women,contender,0,1,0
A_493,g_88,women,contender,0,1,6
A_494,g_88,women,contender,0,0,28
A_495,g_88,women,contender,0,1,1
A_496,g_89,women,prizewinner,1,0,12
A_497,g_89,women,contender,0,0,8
A_498,g_89,women,contender,0,0,10
A_499,g_89,women,contender,0,0,8
A_500,g_89,women,contender,0,0,15
A_501,g_89,women,contender,0,0,10
A_502,g_90,women,prizewinner,1,0,4
A_503,g_90,women,contender,0,0,8
A_504,g_90,women,contender,0,0,4
A_505,g_90,women,contender,0,0,5
A_506,g_90,women,contender,0,0,1
A_507,g_90,women,contender,0,0,1
A_508,g_91,women,prizewinner,1,0,14
A_509,g_91,women,contender,0,1,9
A_510,g_91,women,contender,0,0,11
A_511,g_91,women,contender,0,0,10
A_512,g_91,women,contender,0,1,7
A_513,g_91,women,contender,0,0,16
A_514,g_92,women,prizewinner,1,0,12
A_515,g_92,women,contender,0,0,11
A_516,g_92,women,contender,0,0,9
A_517,g_92,women,contender,0,0,11
A_518,g_92,women,contender,0,0,11
A_519,g_92,women,contender,0,0,11
A_520,g_93,women,prizewinner,1,0,4
A_521,g_93,women,contender,0,0,9
A_522,g_93,women,contender,0,0,4
A_523,g_93,women,contender,0,0,6
A_524,g_93,women,contender,0,0,10
A_525,g_93,women,contender,0,0,6
A_526,g_94,women,prizewinner,1,0,11
A_527,g_94,women,contender,0,1,15
A_528,g_94,women,contender,0,1,6
A_529,g_94,women,contender,0,0,19
A_530,g_94,women,contender,0,0,9
A_531,g_94,women,contender,0,0,9
A_532,g_95,women,prizewinner,1,0,17
A_533,g_95,women,contender,0,0,15
A_534,g_95,women,contender,0,0,13
A_535,g_95,women,contender,0,0,17
A_536,g_95,women,contender,0,0,14
A_537,g_95,women,contender,0,0,14
A_538,g_96,women,prizewinner,1,0,30
A_539,g_96,women,contender,0,1,31
A_540,g_96,women,contender,0,1,20
A_541,g_96,women,contender,0,1,21
A_542,g_96,women,contender,0,1,22
A_543,g_96,women,contender,0,1,26
A_544,g_97,women,prizewinner,1,0,24
A_545,g_97,women,contender,0,1,20
A_546,g_97,women,contender,0,1,20
A_547,g_97,women,contender,0,1,17
A_548,g_97,women,contender,0,1,20
A_549,g_97,women,contender,0,1,21
A_550,g_98,women,prizewinner,1,0,9
A_551,g_98,women,contender,0,1,12
A_552,g_98,women,contender,0,0,7
A_553,g_98,women,contender,0,0,9
A_554,g_98,women,contender,0,0,7
A_555,g_98,women,contender,0,0,11
A_556,g_99,women,prizewinner,1,0,6
A_557,g_99,women,contender,0,1,5
A_558,g_99,women,contender,0,1,1
A_559,g_99,women,contender,0,1,1
A_560,g_99,women,contender,0,1,0
A_561,g_99,women,contender,0,1,1
A_562,g_100,women,prizewinner,1,0,20
A_563,g_100,women,contender,0,0,21
A_564,g_100,women,contender,0,0,16
A_565,g_100,women,contender,0,1,15
A_566,g_100,women,contender,0,0,20
A_567,g_100,women,contender,0,1,13
A_568,g_101,women,prizewinner,1,0,19
A_569,g_101,women,contender,0,1,12
A_570,g_101,women,contender,0,1,13
A_571,g_101,women,contender,0,1,14
A_572,g_101,women,contender,0,1,17
A_573,g_101,women,contender,0,0,19
A_574,g_102,women,prizewinner,1,1,2
A_575,g_102,women,contender,0,0,4
A_576,g_102,women,contender,0,0,4
A_577,g_102,women,contender,0,1,0
A_578,g_102,women,contender,0,1,0
A_579,g_102,women,contender,0,0,9
A_580,g_103,women,prizewinner,1,0,25
A_581,g_103,women,contender,0,1,23
A_582,g_103,women,contender,0,1,21
A_583,g_103,women,contender,0,1,20
A_584,g_104,women,prizewinner,1,0,8
A_585,g_104,women,contender,0,0,6
A_586,g_104,women,contender,0,0,6
A_587,g_104,women,contender,0,0,14
A_588,g_104,women,contender,0,0,9
A_589,g_104,women,contender,0,1,0
A_590,g_105,women,prizewinner,1,0,8
A_591,g_105,women,contender,0,0,6
A_592,g_105,women,contender,0,0,8
A_593,g_105,women,contender,0,1,7
A_594,g_105,women,contender,0,0,6
A_595,g_105,women,contender,0,0,6
A_596,g_106,women,prizewinner,1,0,15
A_597,g_106,women,contender,0,0,16
A_598,g_106,women,contender,0,0,14
A_599,g_106,women,contender,0,1,11
A_600,g_106,women,contender,0,0,22
A_601,g_106,women,contender,0,0,16
A_602,g_107,women,prizewinner,1,0,6
A_603,g_107,women,contender,0,0,11
A_604,g_107,women,contender,0,0,7
A_605,g_107,women,contender,0,0,5
A_606,g_107,women,contender,0,0,10
A_607,g_107,women,contender,0,0,11
A_608,g_108,women,prizewinner,1,0,8
A_609,g_108,women,contender,0,0,7
A_610,g_108,women,contender,0,0,7
A_611,g_108,women,contender,0,0,8
A_612,g_109,women,prizewinner,1,0,18
A_613,g_109,women,contender,0,0,18
A_614,g_109,women,contender,0,0,18
A_615,g_109,women,contender,0,0,15
A_616,g_109,women,contender,0,0,17
A_617,g_109,women,contender,0,0,22
A_618,g_110,women,prizewinner,1,1,5
A_619,g_110,women,contender,0,1,8
A_620,g_110,women,contender,0,0,10
A_621,g_110,women,contender,0,1,6
A_622,g_110,women,contender,0,0,9
A_623,g_110,women,contender,0,1,3
A_624,g_111,women,prizewinner,1,0,11
A_625,g_111,women,contender,0,0,11
A_626,g_111,women,contender,0,0,9
A_627,g_111,women,contender,0,0,8
A_628,g_111,women,contender,0,0,13
A_629,g_111,women,contender,0,0,9
A_630,g_112,women,prizewinner,1,0,33
A_631,g_112,women,contender,0,0,37
A_632,g_112,women,contender,0,0,38
A_633,g_112,women,contender,0,1,34
A_634,g_112,women,contender,0,0,39
A_635,g_112,women,contender,0,0,32
A_636,g_113,women,prizewinner,1,1,13
A_637,g_113,women,contender,0,0,20
A_638,g_113,women,contender,0,0,18
A_639,g_114,women,prizewinner,1,0,7
A_640,g_114,women,contender,0,0,6
A_641,g_114,women,contender,0,0,4
A_642,g_114,women,contender,0,0,5
A_643,g_114,women,contender,0,0,8
A_644,g_114,women,contender,0,0,6
A_645,g_115,women,prizewinner,1,0,9
A_646,g_115,women,contender,0,0,12
A_647,g_115,women,contender,0,0,12
A_648,g_115,women,contender,0,1,10
A_649,g_115,women,contender,0,0,13
A_650,g_115,women,contender,0,0,10
A_651,g_116,women,prizewinner,1,0,19
A_652,g_116,women,contender,0,0,15
A_653,g_116,women,contender,0,0,15
A_654,g_116,women,contender,0,0,21
A_655,g_116,women,contender,0,1,11
A_656,g_116,women,contender,0,1,12
A_657,g_117,women,prizewinner,1,0,9
A_658,g_117,women,contender,0,0,5
A_659,g_117,women,contender,0,0,13
A_660,g_117,women,contender,0,0,6
A_661,g_117,women,contender,0,0,11
A_662,g_117,women,contender,0,0,11
A_663,g_118,women,prizewinner,1,0,22
A_664,g_118,women,contender,0,0,29
A_665,g_118,women,contender,0,0,26
A_666,g_118,women,contender,0,0,22
A_667,g_118,women,contender,0,0,30
A_668,g_118,women,contender,0,0,23
A_669,g_119,women,prizewinner,1,1,27
A_670,g_119,women,contender,0,0,32
A_671,g_119,women,contender,0,0,27
A_672,g_119,women,contender,0,0,29
A_673,g_119,women,contender,0,0,36
A_674,g_119,women,contender,0,1,26
A_675,g_120,women,prizewinner,1,0,11
A_676,g_120,women,contender,0,0,13
A_677,g_120,women,contender,0,0,11
A_678,g_120,women,contender,0,0,9
A_679,g_120,women,contender,0,0,9
A_680,g_120,women,contender,0,0,8
A_681,g_121,women,prizewinner,1,1,16
A_682,g_121,women,contender,0,1,20
A_683,g_121,women,contender,0,1,14
A_684,g_122,women,prizewinner,1,1,9
A_685,g_122,women,contender,0,1,11
A_686,g_122,women,contender,0,0,18
A_687,g_122,women,contender,0,0,14
A_688,g_122,women,contender,0,0,13
A_689,g_122,women,contender,0,0,15
A_690,g_123,women,prizewinner,1,0,5
A_691,g_123,women,contender,0,0,5
A_692,g_123,women,contender,0,0,5
A_693,g_123,women,contender,0,0,7
A_694,g_123,women,contender,0,0,7
A_695,g_123,women,contender,0,0,6
A_696,g_124,women,prizewinner,1,0,11
A_697,g_124,women,contender,0,0,8
A_698,g_124,women,contender,0,0,11
A_699,g_124,women,contender,0,0,8
A_700,g_124,women,contender,0,0,7
A_701,g_124,women,contender,0,0,12
A_702,g_125,women,prizewinner,1,1,25
A_703,g_125,women,contender,0,1,26
A_704,g_125,women,contender,0,1,18
A_705,g_125,women,contender,0,1,25
A_706,g_126,women,prizewinner,1,0,19
A_707,g_126,women,contender,0,1,10
A_708,g_126,women,contender,0,1,18
A_709,g_126,women,contender,0,0,20
A_710,g_126,women,contender,0,0,23
A_711,g_126,women,contender,0,0,19
A_712,g_127,women,prizewinner,1,0,13
A_713,g_127,women,contender,0,0,10
